posicao_ranking,id_do_prospect,numero_do_lead,origem_do_lead,fonte_do_lead,ultima_atividade,especializacao,ocupacao_atual,cidade,probabilidade_conversao,probabilidade_percentual,previsao_modelo,convertido_real,prioridade,acao_sugerida
21,8dbdab2f-a5e0-4a53-88be-851bcfc9e61b,633941,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
22,a9c343bc-1984-4af9-ae81-7d270f8cc4d6,633910,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
23,ff2cfacf-bf20-4c2b-aa23-12d5f9f090fb,614091,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
24,3f6465b4-b7ca-4e38-b3ee-fe46598a8449,587910,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
25,bb429720-568b-459c-8c4b-2f5e3137a5ac,605266,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
26,223cd909-e4d7-4ede-bf39-f3f624286ab2,614107,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
27,f677b0c5-d97c-423b-ae4f-8dd0ad97c957,605319,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Operações,Profissional Empregado,Não informado,0.9599912112517093,96.0,1,1,Alta,Contato comercial imediato
28,c2094c66-5ff2-4859-88a2-3250ccb966a5,614070,Formulário de Cadastro de Lead,Referência,SMS Enviado,Administração de Empresas,Profissional Empregado,Não informado,0.9560774645652548,95.61,1,1,Alta,Contato comercial imediato
29,1c67c1ec-e49b-4543-b05e-e039c536bcfd,633926,Formulário de Cadastro de Lead,Referência,SMS Enviado,Administração de Empresas,Profissional Empregado,Não informado,0.9560774645652548,95.61,1,1,Alta,Contato comercial imediato
30,1e4e458f-44a9-410e-9dec-4dc6797c1ade,605310,Formulário de Cadastro de Lead,Referência,SMS Enviado,Administração de Empresas,Profissional Empregado,Não informado,0.9560774645652548,95.61,1,1,Alta,Contato comercial imediato
31,8e5f90b6-cf07-4d59-a22a-bc3f34048b98,633116,Formulário de Cadastro de Lead,Referência,SMS Enviado,Administração de Empresas,Profissional Empregado,Não informado,0.9560774645652548,95.61,1,1,Alta,Contato comercial imediato
32,6cb07bc3-6d9d-47a4-81e1-5c50011e380e,634040,Formulário de Cadastro de Lead,Referência,SMS Enviado,Administração de Empresas,Profissional Empregado,Não informado,0.9560774645652548,95.61,1,1,Alta,Contato comercial imediato
33,b77a1e61-a78c-4862-a16f-61d6ad01bce6,633903,Formulário de Cadastro de Lead,Referência,SMS Enviado,Administração de Empresas,Profissional Empregado,Não informado,0.9560774645652548,95.61,1,1,Alta,Contato comercial imediato
34,273692bc-01b6-4f3b-80df-7a0e83b366ab,587918,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão da Cadeia de Suprimentos,Profissional Empregado,Não informado,0.9554852225941791,95.55,1,1,Alta,Contato comercial imediato
35,2f05c349-17b3-4c63-adae-607a649c190c,639977,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão da Cadeia de Suprimentos,Profissional Empregado,Não informado,0.9554852225941791,95.55,1,1,Alta,Contato comercial imediato
36,1f2d276d-b116-4e05-859b-0dff75c1dc22,588093,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão da Cadeia de Suprimentos,Profissional Empregado,Não informado,0.9554852225941791,95.55,1,1,Alta,Contato comercial imediato
37,59761db0-0d69-4a47-a6ff-8774e6c3f551,605320,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão da Cadeia de Suprimentos,Profissional Empregado,Não informado,0.9554852225941791,95.55,1,1,Alta,Contato comercial imediato
38,112e2574-5b64-4409-95e4-d7e084d64cdb,605332,Formulário de Cadastro de Lead,Referência,SMS Enviado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9553086928848373,95.53,1,1,Alta,Contato comercial imediato
39,af43d5d2-00c0-4c4d-9bb0-97df60ea7b4a,651935,Formulário de Cadastro de Lead,Referência,SMS Enviado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9553086928848373,95.53,1,1,Alta,Contato comercial imediato
40,5aed81df-0500-4003-b901-51ad6d790bfb,614080,Formulário de Cadastro de Lead,Referência,SMS Enviado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9553086928848373,95.53,1,1,Alta,Contato comercial imediato
41,b957cacd-3e20-41d3-8c63-9a6479488311,643902,Formulário de Cadastro de Lead,Referência,SMS Enviado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9553086928848373,95.53,1,1,Alta,Contato comercial imediato
42,39fd64c1-3df6-43e4-9ff0-7ab5f8011009,605278,Formulário de Cadastro de Lead,Referência,SMS Enviado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9553086928848373,95.53,1,1,Alta,Contato comercial imediato
43,c11cf85a-e78a-4a09-be7f-b02d197be200,655552,Formulário de Cadastro de Lead,Referência,SMS Enviado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9553086928848373,95.53,1,1,Alta,Contato comercial imediato
44,c7f076bd-1f39-4460-a36f-9d524d87a741,588094,Formulário de Cadastro de Lead,Referência,SMS Enviado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9553086928848373,95.53,1,1,Alta,Contato comercial imediato
45,66aef816-5a5f-45ed-ae66-98fd21166203,628308,Formulário de Cadastro de Lead,Referência,SMS Enviado,Viagens e Turismo,Profissional Empregado,Não informado,0.9550919641672128,95.51,1,1,Alta,Contato comercial imediato
46,80b9ff61-2447-4b4e-bc2f-b3ac4cc30983,605273,Formulário de Cadastro de Lead,Referência,SMS Enviado,Negócios Internacionais,Profissional Empregado,Não informado,0.9550919641672128,95.51,1,1,Alta,Contato comercial imediato
47,7f9fa790-b58b-4192-9f63-8ada4274470c,605262,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão em Saúde,Profissional Empregado,Não informado,0.9543853942684564,95.44,1,1,Alta,Contato comercial imediato
48,74a7a568-2719-4e18-8c38-7827366eb107,614095,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Projetos de TI,Profissional Empregado,Não informado,0.9542992968192313,95.43,1,1,Alta,Contato comercial imediato
49,fa887460-715b-4c3d-8a48-827795046cfd,588003,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
50,4e50d3ad-ebb2-4943-ac53-6838264b90b6,605335,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
51,cefe255e-4b60-488d-8e35-5245c15382c1,605303,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
52,2b4028a4-f532-46c1-95f4-957ba14a69a0,605318,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
53,5253d960-286e-4ece-afaa-ac3c8775b7aa,633122,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
54,9feb6db6-ece4-4c2a-9221-de35dc1c6b3e,605230,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
55,bb83f4ad-646f-49e8-bd8a-75a7cce69e49,614067,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
56,e33719f6-4028-4d70-8fa1-5481c2e89d7f,634102,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
57,7c4830fd-b0d0-4ec0-967b-f8d23853d2b9,613488,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
58,156474e3-446d-407f-95a2-e0fd58d740c7,634043,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
59,365e6988-69ed-49b8-9f8a-92481ff40f5e,588104,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
60,3d7f214b-2eac-49af-a4a6-e23d3cf880e4,634051,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
61,d0514e93-3542-4931-9b36-8eabf519606d,624434,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
62,eec1c494-6329-4b35-ab26-9fef63bf2b12,614100,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
63,73395da6-c91c-43ee-8d29-bc2a3436ee5b,588040,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
64,a40d908e-33ab-44c0-8801-5ed29c24710d,643832,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
65,c6a582ef-188a-4a5e-a949-5e60671a9482,588058,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
66,6317608b-82f6-4279-8964-428a56c1bebe,634015,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
67,e2621d9a-7585-43f0-a2ac-14e3b61b255d,630550,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
68,f12dfdf7-c8a6-4765-a681-dde85cf60453,605267,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
69,a6f8ee6c-73f0-4beb-87e0-479e0a615a53,588001,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
70,e902b114-3d1f-4870-9173-708289831a76,587890,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
71,fb582909-5ed2-4ea3-ab64-aa2469387b5e,605328,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
72,94269b97-3b1b-40ad-afa7-11e2bf50000e,588131,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
73,86735364-0955-47c9-a993-64c075c4b544,605271,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Marketing,Profissional Empregado,Não informado,0.9532648389214284,95.33,1,1,Alta,Contato comercial imediato
74,508b7260-b5cd-4c55-968b-3532a461c539,614077,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
75,28d2759d-39fc-40de-9091-90130c68edb2,633914,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
76,3b121902-1899-4506-8aac-85eb952ac17b,614036,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
77,cbefca85-bd57-43f1-8c8e-b477385aa69e,606316,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
78,58e3a310-01cd-411f-b7fe-c2aa57c483a6,605316,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
79,4f780463-8e15-4ffc-9c02-c3cfe2a3c4d4,605299,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
80,f7d7f67f-0dc2-462c-8336-f56384f96fa9,587970,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
81,9b663a0c-68dd-4606-991a-14540d090c97,605275,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
82,7f9f6963-cfd4-4045-aaae-49ba1686b1e3,628508,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
83,d3f05bd0-5777-4d90-b6c8-1e3bdf8bb42f,587894,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
84,c071d19c-a532-40bf-8729-132e090ba8d8,588102,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
85,44efc6d4-fdfd-4638-bf55-38da6818f911,643897,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
86,2e1ff385-d334-420f-a530-8074e95032b2,630427,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
87,1208d53b-4940-4ef3-ad82-a5db0e0906e1,643848,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
88,64fa7b1f-d6ac-4b66-991a-7a4c4e4ec3e4,643901,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
89,2cf4636b-2fcc-4dab-8f1f-bee6d5b0d68d,633126,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
90,2c0b2139-7541-4724-89ff-7b4e76ee62a5,634024,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
91,8570ace7-fafe-4c2e-a0dc-55685674e4c2,637169,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
92,de6e0379-c812-4c42-b3dd-b53b3ab2a6ff,588111,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9517750828674642,95.18,1,1,Alta,Contato comercial imediato
93,5857eeef-41cb-4523-a654-8709f6c8d8c6,581257,Formulário de Cadastro de Lead,Referência,Não informado,Gestão da Cadeia de Suprimentos,Profissional Empregado,Mumbai,0.9418155047844451,94.18,1,1,Alta,Contato comercial imediato
94,59996c52-d485-48c6-9777-d8deaec1e4ab,634047,Formulário de Cadastro de Lead,Referência,Não informado,Gestão de Operações,Profissional Empregado,Não informado,0.9404743404306676,94.05,1,1,Alta,Contato comercial imediato
95,59d2f9c6-d03e-4c51-8324-0c76feb19df6,627106,Formulário de Cadastro de Lead,Referência,Não informado,Gestão de Recursos Humanos,Profissional Empregado,Mumbai,0.9404365167026769,94.04,1,1,Alta,Contato comercial imediato
96,46c2bad4-ea26-4507-9378-c488e0c1dd11,659369,Formulário de Cadastro de Lead,Referência,Link do E-mail Clicado,Administração de Empresas,Profissional Empregado,Não informado,0.9400306983200202,94.0,1,1,Alta,Contato comercial imediato
97,20bae5db-2d10-4d69-90d0-65a389adb418,588037,Formulário de Cadastro de Lead,Referência,Inalcançável,Administração de Empresas,Profissional Empregado,Não informado,0.9398077291086926,93.98,1,1,Alta,Contato comercial imediato
98,77e26553-3741-4f64-afc2-662de8a7bf72,632926,Formulário de Cadastro de Lead,Referência,Não informado,Gestão de Operações,Profissional Empregado,Não informado,0.9394350450309458,93.94,1,1,Alta,Contato comercial imediato
99,2c9ee018-0f52-4596-aa29-f65210d917d1,588013,Formulário de Cadastro de Lead,Referência,Não informado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9393806436265686,93.94,1,1,Alta,Contato comercial imediato
100,5befbbb7-2cf3-4a47-bb6f-086652eb131d,656563,Formulário de Cadastro de Lead,Referência,Não informado,Gestão em Saúde,Profissional Empregado,Mumbai,0.939213679175954,93.92,1,1,Alta,Contato comercial imediato
101,5461778b-3604-4675-90f5-d997fe11bc29,627462,Formulário de Cadastro de Lead,Referência,Não informado,Viagens e Turismo,Profissional Empregado,Não informado,0.9391890284918865,93.92,1,1,Alta,Contato comercial imediato
102,05bdcb28-0e76-4ede-b766-c808488bc422,598055,Formulário de Cadastro de Lead,Referência,Não informado,Gestão de Hospitalidade,Profissional Empregado,Mumbai,0.9390532859240777,93.91,1,1,Alta,Contato comercial imediato
103,d5e21a32-eb81-4c65-88f5-2c3fd1f4ed80,588070,Formulário de Cadastro de Lead,Referência,Link do E-mail Clicado,Gestão Financeira,Profissional Empregado,Não informado,0.9388762466783958,93.89,1,1,Alta,Contato comercial imediato
104,250a784b-9534-47cd-8d91-73829f144272,637010,Formulário de Cadastro de Lead,Referência,Link do E-mail Clicado,Gestão Financeira,Profissional Empregado,Não informado,0.9388762466783958,93.89,1,1,Alta,Contato comercial imediato
105,ab5bca4b-4a68-4b54-ab2f-6eb62d0a9837,614087,Formulário de Cadastro de Lead,Referência,Link do E-mail Clicado,Gestão Financeira,Profissional Empregado,Não informado,0.9388762466783958,93.89,1,1,Alta,Contato comercial imediato
106,7e66be45-783c-4983-b4cd-c6594bbbeee8,587916,Formulário de Cadastro de Lead,Referência,Não informado,"Bancos, Investimentos e Seguros",Profissional Empregado,Não informado,0.9375384558687729,93.75,1,1,Alta,Contato comercial imediato
107,b7a8aba7-818c-43d4-acc6-693f3046ec11,588075,Formulário de Cadastro de Lead,Referência,Inalcançável,Negócios Internacionais,Profissional Empregado,Não informado,0.9371710983426457,93.72,1,1,Alta,Contato comercial imediato
108,ce400e14-966f-44b2-a1e8-eeb5d2e5291c,588061,Formulário de Cadastro de Lead,Referência,Não informado,Gestão de Recursos Humanos,Profissional Empregado,Não informado,0.9357838130132923,93.58,1,0,Alta,Contato comercial imediato
109,d189723f-4dff-42e9-b00a-d721a4362732,596805,Formulário de Cadastro de Lead,Referência,SMS Enviado,Gestão de Recursos Humanos,Profissional Empregado,Outras Cidades,0.935759625226193,93.58,1,0,Alta,Contato comercial imediato
110,3110d646-c332-41e7-9f98-eb110f4b5773,624495,Formulário de Cadastro de Lead,Referência,E-mail Aberto,Gestão de Operações,Profissional Empregado,Mumbai,0.9347726197258054,93.48,1,1,Alta,Contato comercial imediato
111,b9014226-2c1b-4461-9cb1-4fa0d8120bbd,595881,Formulário de Cadastro de Lead,Referência,E-mail Aberto,Gestão Financeira,Profissional Empregado,Mumbai,0.9347623501188974,93.48,1,1,Alta,Contato comercial imediato
112,70c71ff4-5848-46da-b501-2e9867c46c06,658675,Formulário de Cadastro de Lead,Referência,E-mail Aberto,Gestão Financeira,Profissional Empregado,Mumbai,0.9347623501188974,93.48,1,1,Alta,Contato comercial imediato
113,3e7b62f5-7c8b-4445-a384-a979cd6b9b6a,588873,Formulário de Cadastro de Lead,Referência,E-mail Aberto,Gestão Financeira,Profissional Empregado,Mumbai,0.9347623501188974,93.48,1,1,Alta,Contato comercial imediato
114,7ac5348a-9ce9-4767-a3f5-0f679a8c066d,604307,Formulário de Cadastro de Lead,Referência,E-mail Aberto,Gestão Financeira,Profissional Empregado,Mumbai,0.9347623501188974,93.48,1,1,Alta,Contato comercial imediato
115,7e7ca2c8-7640-4e22-b8d5-bcacfc79c18f,587883,Formulário de Cadastro de Lead,Referência,E-mail Aberto,Gestão Financeira,Profissional Empregado,Não informado,0.9344117004436204,93.44,1,1,Alta,Contato comercial imediato
116,0ad6eef7-7935-499d-903b-bf17566b241e,658193,Formulário de Cadastro de Lead,Referência,E-mail Aberto,Gestão Financeira,Profissional Empregado,Não informado,0.9344117004436204,93.44,1,1,Alta,Contato comercial imediato
117,a6b19be1-840f-4686-aba0-cff92dec24de,605250,Formulário de Cadastro de Lead,Referência,E-mail Aberto,Gestão Financeira,Profissional Empregado,Não informado,0.9344117004436204,93.44,1,1,Alta,Contato comercial imediato
118,80f5897b-9092-40f4-86e3-029d988ba27b,587880,Formulário de Cadastro de Lead,Não informado,SMS Enviado,Gestão Financeira,Profissional Empregado,Não informado,0.9335006152031863,93.35,1,1,Alta,Contato comercial imediato
119,907a2dca-edae-45cb-a0f2-841054d74ebd,627558,Formulário de Cadastro de Lead,Referência,Link do E-mail Clicado,Gestão em Saúde,Profissional Empregado,Mumbai,0.9316610164623323,93.17,1,1,Alta,Contato comercial imediato
